forehead width (cm),jaw width (cm),face length (cm),face width (cm),face shape,best hairstyle
14.2,13.3,18.9,12.9,Oblong,Choppy Layers
14.5,10.6,18.9,13.3,Oval,Side Swept Bangs
14.2,13.8,16.8,14.3,Round,Layered Bob
14.1,13.4,18.0,13.1,Round,Long Straight
13.7,10.6,18.3,13.1,Oval,Side Swept Bangs
14.5,10.7,18.7,13.7,Oval,Side Swept Bangs
13.5,13.1,18.9,13.4,Diamond,Tousled Waves
13.6,13.8,16.3,14.6,Round,Long Straight
14.3,11.5,17.4,14.0,Heart,Side Bangs
14.0,12.5,17.8,13.8,Diamond,Tousled Waves
15.3,9.7,19.5,13.6,Oval,Wavy Bob
13.9,12.7,17.3,14.4,Round,Pixie Cut
13.7,13.5,16.7,14.7,Square,Soft Curls
14.2,13.5,17.2,14.2,Square,Soft Curls
13.3,12.8,17.7,14.3,Diamond,Asymmetrical Bob
14.2,14.2,17.4,13.1,Square,Soft Curls
13.5,13.0,17.2,13.6,Diamond,Asymmetrical Bob
14.6,11.6,17.4,13.3,Heart,Chin-Length Bob
14.4,10.5,18.8,14.0,Oval,Side Swept Bangs
12.9,14.0,18.1,14.4,Diamond,Tousled Waves
13.7,13.7,18.7,12.9,Diamond,Asymmetrical Bob
14.9,12.5,19.0,13.2,Oblong,Choppy Layers
13.3,13.5,18.0,14.2,Diamond,Fringe
13.7,14.2,17.0,13.4,Square,Layered Waves
14.3,10.5,19.3,13.6,Oval,Side Swept Bangs
14.5,11.4,18.1,13.3,Heart,Side Bangs
13.2,13.6,16.1,13.9,Round,Long Straight
13.4,13.5,18.1,13.2,Oblong,Curtain Bangs
14.4,14.0,16.4,13.5,Round,Layered Bob
14.1,13.3,16.8,14.2,Round,Layered Bob
14.6,12.9,18.6,12.7,Oblong,Choppy Layers
14.7,14.7,15.9,13.7,Square,Soft Curls
13.6,13.0,17.5,14.9,Round,Pixie Cut
14.2,12.8,18.4,13.2,Oblong,Shoulder Length Waves
13.2,13.4,18.1,13.7,Diamond,Asymmetrical Bob
14.0,13.4,19.2,13.6,Oblong,Curtain Bangs
14.8,13.3,19.3,13.2,Oblong,Curtain Bangs
14.6,11.3,17.9,13.8,Heart,Side Bangs
14.2,13.3,17.0,14.0,Round,Pixie Cut
14.6,13.4,19.4,13.2,Oblong,Curtain Bangs
14.0,12.9,17.1,14.7,Round,Pixie Cut
14.2,14.6,17.8,13.9,Square,Layered Waves
13.4,13.0,18.5,13.6,Diamond,Asymmetrical Bob
14.1,13.4,19.0,13.4,Oblong,Shoulder Length Waves
13.2,12.8,18.6,14.3,Diamond,Fringe
15.1,12.4,17.7,13.2,Heart,Chin-Length Bob
14.1,13.4,18.0,13.4,Square,Layered Waves
14.2,11.1,17.9,12.8,Heart,Chin-Length Bob
13.2,13.8,17.0,13.3,Round,Pixie Cut
14.7,13.0,19.1,13.3,Oblong,Shoulder Length Waves
13.4,12.7,18.4,12.9,Oblong,Curtain Bangs
13.7,14.3,18.2,14.7,Square,Soft Curls
13.0,14.3,18.6,14.0,Diamond,Tousled Waves
14.4,14.0,18.1,14.3,Square,Layered Waves
13.6,13.0,18.4,14.4,Diamond,Asymmetrical Bob
15.3,13.0,19.8,13.2,Oblong,Choppy Layers
12.9,13.0,16.9,13.7,Round,Long Straight
14.3,13.7,17.1,14.5,Round,Layered Bob
13.9,13.9,17.0,13.4,Square,Side Part
14.5,13.1,19.0,12.5,Oblong,Curtain Bangs
15.0,13.3,19.4,12.7,Oblong,Shoulder Length Waves
14.4,10.2,18.7,12.8,Oval,Wavy Bob
14.2,13.4,18.2,13.6,Oblong,Curtain Bangs
14.8,11.7,17.2,13.8,Heart,Textured Lob
13.3,13.0,16.8,14.4,Round,Long Straight
13.5,13.6,17.7,14.0,Round,Pixie Cut
14.5,9.9,19.1,13.5,Oval,Long Layers
14.1,14.3,16.0,13.9,Round,Long Straight
14.4,11.5,18.0,12.5,Heart,Textured Lob
14.0,11.2,16.8,12.8,Heart,Chin-Length Bob
14.1,13.8,18.8,14.4,Square,Soft Curls
14.4,12.5,19.8,13.4,Oblong,Curtain Bangs
14.0,14.0,18.4,13.3,Diamond,Tousled Waves
13.8,13.5,17.0,14.0,Round,Pixie Cut
13.6,13.2,17.0,14.5,Round,Pixie Cut
14.4,10.5,18.5,13.0,Oval,Wavy Bob
14.9,11.9,17.7,13.8,Heart,Chin-Length Bob
14.1,10.5,18.6,13.4,Oval,Side Swept Bangs
14.0,13.1,18.2,13.9,Diamond,Tousled Waves
14.2,13.9,17.2,14.1,Square,Soft Curls
13.8,13.7,18.1,13.4,Diamond,Tousled Waves
14.5,14.0,18.0,14.7,Square,Soft Curls
14.6,12.9,18.3,13.4,Oblong,Curtain Bangs
14.0,11.7,18.5,13.8,Heart,Chin-Length Bob
14.9,13.6,18.0,14.3,Square,Layered Waves
14.6,10.8,17.3,13.4,Heart,Chin-Length Bob
13.8,13.1,17.0,14.0,Round,Pixie Cut
13.2,13.5,18.4,14.3,Diamond,Asymmetrical Bob
13.8,13.0,17.8,13.9,Round,Layered Bob
13.9,13.2,19.1,13.4,Oblong,Shoulder Length Waves
13.9,13.5,16.1,13.6,Round,Long Straight
13.6,14.1,17.5,13.1,Round,Long Straight
13.4,14.3,17.7,14.0,Square,Side Part
13.9,13.1,18.9,13.0,Oblong,Shoulder Length Waves
14.6,13.1,18.2,13.4,Oblong,Shoulder Length Waves
13.9,13.0,18.3,14.6,Diamond,Tousled Waves
13.7,13.8,17.2,13.9,Round,Long Straight
14.9,11.1,17.2,13.4,Heart,Side Bangs
14.5,11.2,18.4,13.3,Oval,Wavy Bob
14.9,10.5,18.2,12.7,Oval,Long Layers
13.8,14.0,17.5,14.0,Square,Soft Curls
13.9,13.0,19.1,13.5,Oblong,Choppy Layers
13.5,13.9,19.1,13.3,Oblong,Choppy Layers
13.3,12.8,19.4,13.7,Diamond,Tousled Waves
13.6,13.5,17.9,14.0,Round,Pixie Cut
13.4,14.0,19.8,13.2,Oblong,Shoulder Length Waves
14.1,12.3,17.1,14.5,Round,Layered Bob
14.7,11.4,17.6,13.0,Heart,Side Bangs
13.7,13.5,20.3,13.6,Oblong,Choppy Layers
13.5,13.5,17.0,14.1,Diamond,Fringe
14.8,12.3,18.9,13.5,Oblong,Shoulder Length Waves
13.3,14.6,16.9,13.9,Round,Long Straight
13.1,13.6,17.1,13.7,Square,Side Part
14.0,12.2,17.8,13.4,Heart,Side Bangs
14.6,10.8,18.2,13.4,Heart,Chin-Length Bob
13.7,13.4,17.5,13.9,Diamond,Fringe
15.2,11.3,17.9,12.6,Heart,Textured Lob
13.7,13.9,17.4,13.7,Square,Soft Curls
13.0,13.2,18.5,13.4,Diamond,Tousled Waves
13.2,14.3,16.9,13.8,Square,Layered Waves
14.5,14.1,16.3,14.0,Round,Layered Bob
13.7,13.7,17.2,13.9,Round,Long Straight
14.3,11.5,17.4,13.8,Heart,Side Bangs
14.4,13.5,17.6,13.5,Square,Side Part
14.2,13.8,16.7,13.3,Round,Pixie Cut
14.4,10.5,18.7,13.8,Oval,Wavy Bob
14.4,14.0,16.8,14.1,Round,Long Straight
13.5,13.2,17.5,13.6,Round,Long Straight
13.9,12.2,17.9,12.8,Oblong,Choppy Layers
14.4,14.4,17.4,13.3,Square,Side Part
13.5,14.1,18.1,14.2,Square,Side Part
13.5,12.4,17.4,14.1,Round,Layered Bob
13.9,11.2,18.8,13.9,Oval,Side Swept Bangs
14.0,10.6,18.6,13.8,Oval,Long Layers
14.2,12.9,18.1,13.8,Oblong,Curtain Bangs
12.8,12.8,18.0,14.0,Diamond,Tousled Waves
13.9,14.0,17.8,13.9,Square,Side Part
13.1,14.0,18.0,14.6,Square,Side Part
14.7,11.8,17.7,13.6,Heart,Chin-Length Bob
14.3,9.5,18.2,14.1,Oval,Long Layers
15.0,14.0,17.8,13.2,Square,Soft Curls
14.8,10.4,19.6,14.2,Oval,Wavy Bob
13.6,14.4,17.0,14.3,Square,Side Part
13.7,14.0,18.7,12.7,Oblong,Shoulder Length Waves
14.1,11.7,17.5,14.0,Heart,Textured Lob
13.1,13.3,16.3,13.7,Round,Long Straight
14.6,10.4,18.9,13.3,Oval,Side Swept Bangs
14.6,10.3,17.9,13.8,Oval,Side Swept Bangs
14.4,13.1,16.8,14.4,Round,Layered Bob
14.0,10.3,18.1,13.5,Oval,Wavy Bob
14.8,10.7,17.4,13.1,Heart,Side Bangs
13.9,13.6,19.5,12.9,Oblong,Shoulder Length Waves
14.5,11.6,17.4,13.9,Heart,Textured Lob
14.1,11.5,17.8,14.4,Heart,Textured Lob
13.9,12.7,19.1,13.4,Oblong,Choppy Layers
14.6,13.8,18.3,13.4,Oblong,Choppy Layers
13.8,13.5,17.5,14.7,Square,Layered Waves
13.5,13.5,18.0,14.0,Round,Long Straight
13.6,13.5,17.7,14.4,Round,Layered Bob
13.6,13.6,18.5,13.6,Diamond,Fringe
14.3,13.1,17.4,14.1,Square,Soft Curls
14.6,13.2,18.2,13.4,Oblong,Shoulder Length Waves
13.8,12.4,19.0,13.4,Oblong,Choppy Layers
14.0,13.5,18.6,13.8,Oblong,Shoulder Length Waves
14.2,11.5,16.8,14.4,Heart,Chin-Length Bob
14.6,11.1,18.3,13.7,Oval,Side Swept Bangs
14.1,14.0,16.9,15.0,Round,Layered Bob
14.6,13.9,17.7,14.3,Round,Pixie Cut
13.6,14.0,16.8,13.9,Round,Layered Bob
14.1,12.8,19.1,13.5,Oblong,Shoulder Length Waves
13.7,12.4,18.0,13.6,Diamond,Asymmetrical Bob
14.6,11.2,19.0,13.1,Heart,Side Bangs
14.0,13.5,18.2,12.9,Oblong,Curtain Bangs
13.3,13.0,19.3,13.5,Diamond,Asymmetrical Bob
13.7,13.5,19.9,13.6,Oblong,Curtain Bangs
13.4,13.0,18.3,13.5,Diamond,Fringe
13.4,12.6,17.1,13.3,Diamond,Fringe
14.5,13.4,17.4,14.3,Square,Side Part
13.3,13.7,18.8,13.3,Diamond,Fringe
14.5,13.9,17.4,13.2,Round,Long Straight
12.7,12.7,17.6,14.1,Round,Pixie Cut
13.4,13.7,18.0,13.6,Round,Long Straight
14.4,13.5,16.4,13.8,Round,Layered Bob
15.4,12.1,17.1,14.4,Heart,Chin-Length Bob
14.4,11.2,17.8,13.4,Heart,Side Bangs
15.1,10.2,18.9,13.8,Oval,Side Swept Bangs
13.7,13.6,18.7,13.7,Diamond,Asymmetrical Bob
14.3,13.3,17.7,14.3,Square,Layered Waves
13.4,13.6,16.8,14.5,Round,Layered Bob
14.8,13.0,19.2,13.8,Oblong,Shoulder Length Waves
15.0,11.3,18.0,14.2,Heart,Textured Lob
14.7,13.0,18.3,13.0,Oblong,Curtain Bangs
14.3,13.6,16.9,15.1,Square,Side Part
14.4,13.1,17.8,13.3,Oblong,Choppy Layers
14.3,13.1,19.4,13.1,Oblong,Shoulder Length Waves
12.6,14.3,17.1,13.9,Round,Layered Bob
14.2,10.1,19.5,13.9,Oval,Wavy Bob
13.3,12.9,17.7,14.3,Diamond,Fringe
14.1,10.4,18.1,13.4,Oval,Long Layers
14.4,11.5,17.6,14.0,Heart,Side Bangs
14.1,13.0,18.5,13.7,Oblong,Curtain Bangs
14.3,13.0,18.8,13.0,Oblong,Shoulder Length Waves
13.5,13.3,16.8,14.0,Round,Long Straight
14.2,14.4,17.8,14.0,Square,Soft Curls
13.0,13.3,18.4,14.0,Diamond,Asymmetrical Bob
14.3,14.0,18.9,13.0,Oblong,Choppy Layers
13.5,12.9,18.3,14.2,Diamond,Tousled Waves
13.5,13.7,16.9,13.7,Round,Pixie Cut
14.3,12.2,18.6,13.4,Heart,Textured Lob
13.6,14.0,18.7,13.4,Oblong,Curtain Bangs
15.0,10.1,18.3,13.2,Oval,Wavy Bob
13.8,13.2,19.2,13.6,Oblong,Choppy Layers
14.1,13.8,17.4,13.5,Round,Long Straight
14.5,10.8,17.6,13.7,Oval,Long Layers
13.9,13.8,17.8,14.5,Square,Side Part
13.9,13.6,16.9,14.3,Round,Layered Bob
14.2,12.1,18.3,14.3,Heart,Textured Lob
14.0,9.7,19.5,13.7,Oval,Wavy Bob
14.4,13.2,19.0,13.4,Oblong,Choppy Layers
15.3,10.4,18.5,13.1,Oval,Side Swept Bangs
14.3,10.6,18.0,13.3,Oval,Long Layers
13.8,13.4,19.1,14.6,Diamond,Fringe
15.0,12.5,17.0,12.8,Heart,Chin-Length Bob
15.1,11.6,18.2,13.4,Heart,Textured Lob
13.3,12.7,17.8,13.5,Diamond,Tousled Waves
14.3,13.3,18.8,13.4,Oblong,Choppy Layers
13.2,13.6,18.4,14.0,Diamond,Tousled Waves
13.5,13.4,17.7,13.3,Round,Pixie Cut
13.4,10.3,19.8,13.1,Oval,Long Layers
14.5,13.5,17.1,14.2,Round,Pixie Cut
14.2,14.7,17.7,13.2,Square,Soft Curls
15.2,11.8,17.6,12.9,Heart,Textured Lob
13.8,14.3,16.1,14.5,Round,Long Straight
13.6,12.7,18.4,13.6,Diamond,Asymmetrical Bob
14.3,13.4,16.7,14.8,Round,Pixie Cut
13.8,14.8,17.5,14.9,Square,Soft Curls
14.2,10.6,18.5,13.0,Heart,Side Bangs
14.4,9.9,18.3,13.2,Oval,Long Layers
13.6,13.2,17.0,13.7,Round,Long Straight
14.3,12.7,18.5,13.4,Oblong,Curtain Bangs
13.7,12.8,18.5,13.4,Diamond,Fringe
12.8,13.0,18.1,14.7,Diamond,Fringe
12.5,13.2,17.0,14.1,Round,Pixie Cut
15.0,11.3,17.8,13.6,Heart,Side Bangs
13.8,13.8,17.1,14.3,Diamond,Asymmetrical Bob
14.0,10.0,19.2,13.1,Oval,Long Layers
13.8,12.9,17.0,14.3,Round,Pixie Cut
13.5,13.2,18.2,13.7,Diamond,Asymmetrical Bob
13.7,13.1,16.4,13.9,Round,Pixie Cut
14.2,13.9,19.0,12.6,Oblong,Curtain Bangs
14.4,10.1,18.0,13.9,Oval,Long Layers
13.4,13.7,16.6,12.9,Round,Long Straight
14.8,10.5,19.3,13.4,Oval,Long Layers
14.5,13.3,19.0,13.7,Oblong,Choppy Layers
13.6,12.6,17.7,14.4,Diamond,Tousled Waves
14.4,12.6,19.7,13.1,Oblong,Shoulder Length Waves
14.4,10.3,18.2,13.6,Oval,Wavy Bob
13.8,10.7,17.4,12.3,Heart,Textured Lob
14.2,13.1,19.3,13.6,Oblong,Choppy Layers
13.8,14.5,17.8,13.3,Square,Layered Waves
13.5,14.0,17.1,14.4,Round,Layered Bob
14.6,13.4,18.6,12.8,Oblong,Choppy Layers
14.4,10.4,17.8,14.2,Oval,Long Layers
14.5,10.9,17.7,13.2,Heart,Textured Lob
13.6,14.5,17.5,14.1,Round,Long Straight
13.5,13.3,18.5,13.2,Diamond,Fringe
13.5,13.5,19.1,12.8,Oblong,Curtain Bangs
14.5,14.0,18.1,14.4,Square,Side Part
14.4,11.1,17.9,13.4,Oval,Wavy Bob
13.7,13.1,18.9,13.2,Oblong,Choppy Layers
14.1,13.3,16.9,14.8,Round,Long Straight
14.3,14.5,17.9,13.5,Square,Side Part
14.7,11.9,18.1,13.7,Heart,Chin-Length Bob
13.8,13.5,18.4,13.6,Oblong,Shoulder Length Waves
15.7,10.6,18.3,13.1,Oval,Long Layers
14.4,13.6,17.6,13.2,Oblong,Choppy Layers
13.9,12.5,16.8,15.1,Round,Pixie Cut
13.7,14.4,18.4,13.7,Square,Soft Curls
13.8,13.1,19.1,13.8,Square,Side Part
13.3,13.0,19.3,14.9,Diamond,Tousled Waves
13.8,13.6,17.7,14.5,Round,Long Straight
13.9,12.2,18.0,13.2,Heart,Chin-Length Bob
15.0,11.7,16.8,13.6,Heart,Chin-Length Bob
13.3,13.4,18.1,13.1,Diamond,Tousled Waves
14.1,13.0,19.6,13.6,Oblong,Curtain Bangs
13.8,14.0,17.5,13.7,Square,Layered Waves
14.8,10.0,19.3,12.9,Oval,Side Swept Bangs
12.5,13.7,18.8,14.0,Diamond,Asymmetrical Bob
14.8,11.0,17.9,14.0,Oval,Side Swept Bangs
14.1,13.6,17.2,14.0,Square,Soft Curls
14.8,10.7,17.5,12.9,Heart,Textured Lob
13.8,13.8,17.0,13.8,Round,Pixie Cut
13.4,14.3,17.4,14.5,Square,Soft Curls
14.9,11.0,18.0,13.7,Heart,Chin-Length Bob
14.0,9.7,18.2,13.7,Oval,Long Layers
13.2,14.7,16.8,14.4,Round,Pixie Cut
13.8,13.8,17.7,15.0,Square,Layered Waves
13.8,12.9,19.7,13.8,Oblong,Curtain Bangs
15.0,13.6,18.9,13.1,Oblong,Curtain Bangs
13.5,12.9,16.2,13.1,Round,Layered Bob
14.1,13.4,17.4,14.2,Square,Side Part
14.9,9.8,18.4,12.7,Oval,Side Swept Bangs
14.1,13.4,17.5,14.3,Round,Layered Bob
13.3,13.5,17.7,14.1,Square,Side Part
15.4,11.9,17.9,13.9,Heart,Side Bangs
14.3,11.5,17.6,13.4,Heart,Side Bangs
13.5,13.0,16.0,13.2,Round,Long Straight
14.6,11.8,17.0,12.9,Heart,Textured Lob
13.6,13.4,17.9,13.5,Diamond,Fringe
14.0,14.7,17.5,14.2,Square,Soft Curls
14.6,10.5,18.3,12.7,Oval,Side Swept Bangs
15.4,11.0,18.6,13.3,Oval,Long Layers
13.8,13.7,17.3,14.2,Round,Long Straight
14.3,14.0,16.4,13.7,Round,Layered Bob
14.4,13.6,18.6,13.7,Oblong,Curtain Bangs
14.5,14.0,17.0,13.8,Square,Soft Curls
14.7,11.5,18.0,13.5,Heart,Chin-Length Bob
14.1,10.8,18.3,13.4,Oval,Wavy Bob
13.9,9.9,18.2,13.8,Oval,Long Layers
14.8,11.2,18.4,14.2,Heart,Chin-Length Bob
13.1,13.3,17.8,14.5,Diamond,Fringe
14.2,13.8,17.8,13.7,Square,Soft Curls
13.4,14.7,16.9,13.4,Square,Soft Curls
13.4,14.0,17.3,13.6,Square,Soft Curls
14.8,12.0,18.7,12.9,Heart,Textured Lob
13.9,12.9,18.1,14.0,Square,Layered Waves
14.9,14.8,17.7,14.2,Square,Soft Curls
14.0,13.7,16.8,14.3,Round,Pixie Cut
14.4,13.1,18.1,13.5,Oblong,Choppy Layers
13.6,9.8,19.1,13.7,Oval,Long Layers
13.4,12.7,18.8,13.2,Oblong,Shoulder Length Waves
14.3,11.0,19.2,13.5,Oval,Side Swept Bangs
13.9,12.5,17.3,14.4,Round,Layered Bob
13.6,13.8,16.8,14.7,Round,Layered Bob
13.8,13.4,18.4,14.0,Diamond,Asymmetrical Bob
14.8,13.3,19.6,12.8,Oblong,Curtain Bangs
12.2,13.5,16.6,13.7,Round,Pixie Cut
14.0,11.2,17.9,14.2,Heart,Side Bangs
13.2,12.8,18.4,14.6,Diamond,Fringe
14.2,11.0,18.2,13.3,Heart,Chin-Length Bob
13.8,13.5,17.4,14.9,Round,Layered Bob
13.1,13.7,16.6,14.4,Round,Layered Bob
14.9,14.0,17.6,13.0,Square,Soft Curls
15.0,9.9,18.6,13.1,Oval,Long Layers
13.4,13.6,18.5,12.9,Oblong,Shoulder Length Waves
14.5,10.9,17.7,13.5,Heart,Side Bangs
13.8,11.4,18.0,13.1,Heart,Side Bangs
13.8,12.9,18.6,13.0,Oblong,Choppy Layers
14.5,11.5,17.8,12.9,Heart,Side Bangs
13.3,14.0,18.1,13.4,Square,Side Part
14.1,13.9,19.3,12.8,Oblong,Shoulder Length Waves
13.4,13.7,19.4,14.0,Diamond,Fringe
14.3,11.3,17.9,13.2,Heart,Chin-Length Bob
14.1,13.6,17.3,13.8,Square,Side Part
12.7,13.0,17.7,13.9,Diamond,Fringe
14.4,13.2,19.1,13.0,Oblong,Curtain Bangs
13.5,13.7,17.2,13.9,Round,Pixie Cut
14.8,11.8,18.0,13.4,Heart,Side Bangs
13.8,14.3,17.6,14.1,Square,Soft Curls
14.2,13.0,18.9,13.6,Oblong,Curtain Bangs
14.1,14.0,17.6,14.0,Square,Side Part
13.5,13.4,16.5,13.9,Round,Layered Bob
13.9,13.8,17.8,14.7,Square,Side Part
14.1,11.1,18.4,13.8,Oval,Long Layers
14.8,11.6,18.0,13.7,Heart,Chin-Length Bob
13.6,13.6,16.3,13.8,Round,Layered Bob
14.2,10.5,19.4,12.8,Oval,Side Swept Bangs
14.5,13.9,17.0,14.5,Square,Layered Waves
14.9,10.2,17.9,13.1,Oval,Wavy Bob
13.0,13.5,17.8,14.0,Round,Pixie Cut
14.2,10.5,18.6,13.1,Oval,Side Swept Bangs
13.8,12.8,18.6,13.4,Oblong,Choppy Layers
14.0,13.1,17.4,13.2,Square,Soft Curls
14.6,10.8,18.3,13.8,Oval,Side Swept Bangs
15.3,10.4,17.8,13.5,Oval,Wavy Bob
13.4,13.6,17.5,14.1,Round,Long Straight
13.8,13.5,16.2,14.1,Round,Layered Bob
13.7,12.6,18.0,13.6,Diamond,Asymmetrical Bob
14.2,14.3,16.6,13.1,Square,Soft Curls
14.1,13.1,17.3,14.7,Square,Side Part
14.2,11.3,18.3,13.3,Oval,Wavy Bob
13.5,12.7,18.4,13.2,Diamond,Fringe
13.6,12.9,17.2,14.2,Diamond,Fringe
13.8,12.8,18.1,12.7,Oblong,Shoulder Length Waves
14.2,11.4,18.4,13.7,Oval,Wavy Bob
15.5,11.3,18.3,14.2,Heart,Textured Lob
14.7,13.7,16.8,13.4,Square,Side Part
14.4,13.2,18.5,13.6,Oblong,Curtain Bangs
13.9,13.0,16.5,14.1,Round,Layered Bob
13.5,13.3,19.3,13.1,Oblong,Curtain Bangs
13.9,12.8,19.1,13.7,Oblong,Shoulder Length Waves
15.2,13.8,17.6,14.1,Square,Side Part
14.1,14.1,16.6,14.2,Round,Long Straight
13.9,10.5,18.0,13.6,Oval,Wavy Bob
14.1,13.9,17.5,14.1,Square,Soft Curls
14.1,11.7,18.6,13.4,Heart,Chin-Length Bob
13.3,14.5,18.0,14.5,Round,Pixie Cut
14.6,13.3,18.2,13.2,Oblong,Curtain Bangs
13.7,13.8,17.0,14.7,Round,Layered Bob
14.1,14.2,17.8,13.2,Round,Layered Bob
15.1,13.4,19.6,13.7,Oblong,Shoulder Length Waves
13.9,10.2,18.5,13.7,Oval,Side Swept Bangs
14.9,13.3,19.6,12.8,Oblong,Choppy Layers
14.3,14.4,17.5,14.4,Square,Layered Waves
13.5,13.4,19.0,12.6,Oblong,Shoulder Length Waves
14.6,10.3,18.9,14.0,Oval,Wavy Bob
15.1,10.7,18.1,14.6,Heart,Chin-Length Bob
14.8,13.8,17.8,14.4,Square,Layered Waves
13.8,14.0,17.4,13.8,Square,Soft Curls
13.6,13.1,16.7,13.5,Round,Long Straight
14.7,10.4,18.2,13.5,Oval,Side Swept Bangs
14.1,13.7,17.2,14.2,Square,Soft Curls
14.0,14.4,18.6,13.4,Square,Layered Waves
14.0,13.3,17.1,13.7,Square,Layered Waves
13.5,14.2,17.1,14.1,Square,Side Part
13.5,13.0,18.0,14.1,Diamond,Asymmetrical Bob
13.6,12.4,17.4,14.0,Diamond,Tousled Waves
13.7,13.3,18.7,14.2,Diamond,Asymmetrical Bob
14.3,11.1,17.2,13.6,Oval,Long Layers
14.3,10.9,18.7,13.3,Oval,Long Layers
15.1,10.5,18.0,12.8,Oval,Wavy Bob
12.8,13.7,16.8,13.9,Round,Pixie Cut
14.3,11.4,18.1,13.3,Heart,Textured Lob
14.1,11.1,17.9,13.9,Oval,Long Layers
13.9,13.5,16.9,13.5,Round,Pixie Cut
13.6,13.3,18.6,13.3,Oblong,Choppy Layers
13.9,13.2,17.8,14.3,Diamond,Fringe
13.4,13.5,18.2,14.2,Diamond,Tousled Waves
